Division,Actividad principal,Estimated_Employees_2024,Estimated_Employees_pct,Median_YoY_Growth_pct,Growth_2020_2024_pct,Total_2024,Total_2023,Total_2022,Total_2021,Total_2020,Size_Micro (0-9)_abs,Size_Small (10-49)_abs,Size_Medium (50-249)_abs,Size_Large (250+)_abs,Size_Micro (0-9)_pct,Size_Small (10-49)_pct,Size_Medium (50-249)_pct,Size_Large (250+)_pct,Estrato_Sin asalariados_abs,Estrato_De 1 a 2_abs,Estrato_De 3 a 5_abs,Estrato_De 6 a 9_abs,Estrato_De 10 a 19_abs,Estrato_De 20 a 49_abs,Estrato_De 50 a 99_abs,Estrato_De 100 a 199_abs,Estrato_De 200 a 249_abs,Estrato_De 250 a 999_abs,Estrato_De 1000 a 4999_abs,Estrato_De 5000 o más asalariados_abs,Estrato_Sin asalariados_pct,Estrato_De 1 a 2_pct,Estrato_De 3 a 5_pct,Estrato_De 6 a 9_pct,Estrato_De 10 a 19_pct,Estrato_De 20 a 49_pct,Estrato_De 50 a 99_pct,Estrato_De 100 a 199_pct,Estrato_De 200 a 249_pct,Estrato_De 250 a 999_pct,Estrato_De 1000 a 4999_pct,Estrato_De 5000 o más asalariados_pct,Condicion_Sociedades anónimas_abs,Condicion_Sociedades de responsabilidad limitada_abs,Condicion_Sociedades anónimas_pct,Condicion_Sociedades de responsabilidad limitada_pct
"62 Programación, consultoría y otras actividades relacionadas con la informática","620 Programación, consultoría y otras actividades relacionadas con la informática",406064.0,3.43,3.6,7.9,19518,18619,19715,18523,18082,16124,2656,573,165,82.61,13.61,2.94,0.85,5167,7091,2362,1504,1643,1013,322,215,36,113,42,10,26.47,36.33,12.1,7.71,8.42,5.19,1.65,1.1,0.18,0.58,0.22,0.05,436,19082,2.23,97.77
81 Servicios a edificios y actividades de jardinería,812 Actividades de limpieza,387652.0,3.27,0.8,-1.6,11556,11104,11938,11768,11742,7698,3102,588,168,66.61,26.84,5.09,1.45,1443,3032,1768,1455,2116,986,357,177,54,123,34,11,12.49,26.24,15.3,12.59,18.31,8.53,3.09,1.53,0.47,1.06,0.29,0.1,228,11328,1.97,98.03
56 Servicios de comidas y bebidas,561 Restaurantes y puestos de comidas,375244.0,3.17,2.3,6.6,37551,35747,36997,35053,35217,31111,5829,541,70,82.85,15.52,1.44,0.19,2286,10597,12571,5657,3651,2178,374,139,28,55,14,1,6.09,28.22,33.48,15.06,9.72,5.8,1.0,0.37,0.07,0.15,0.04,0.0,467,37084,1.24,98.76
41 Construcción de edificios,412 Construcción de edificios,362476.0,3.06,-2.2,-21.6,55349,53759,67497,67280,70630,47657,7162,500,30,86.1,12.94,0.9,0.05,11588,20207,10125,5737,4610,2552,358,120,22,25,4,1,20.94,36.51,18.29,10.37,8.33,4.61,0.65,0.22,0.04,0.05,0.01,0.0,1631,53718,2.95,97.05
"46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas","463 Comercio al por mayor de productos alimenticios, bebidas y tabaco",325970.0,2.75,-0.9,-15.0,24930,24910,28869,28792,29341,21097,3066,643,124,84.62,12.3,2.58,0.5,4975,8359,4240,3523,1746,1320,395,211,37,104,20,0,19.96,33.53,17.01,14.13,7.0,5.29,1.58,0.85,0.15,0.42,0.08,0.0,1501,23429,6.02,93.98
43 Actividades de construcción especializada,"432 Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción",303430.0,2.56,0.5,-3.4,33816,32844,35325,34655,35003,28145,5194,425,52,83.23,15.36,1.26,0.15,3416,13812,6912,4005,3326,1868,287,117,21,39,12,1,10.1,40.84,20.44,11.84,9.84,5.52,0.85,0.35,0.06,0.12,0.04,0.0,788,33028,2.33,97.67
49 Transporte terrestre y por tubería,494 Transporte de mercancías por carretera y servicios de mudanza,273002.0,2.31,-1.5,-10.5,25186,25216,27344,27299,28132,20643,3941,537,65,81.96,15.65,2.13,0.26,2265,9282,4710,4386,2323,1618,348,165,24,57,8,0,8.99,36.85,18.7,17.41,9.22,6.42,1.38,0.66,0.1,0.23,0.03,0.0,680,24506,2.7,97.3
55 Servicios de alojamiento,551 Hoteles y alojamientos similares,250565.0,2.12,1.5,3.3,8641,8410,8615,8438,8369,6352,1701,480,108,73.51,19.69,5.55,1.25,1115,2058,1596,1583,883,818,301,148,31,81,25,2,12.9,23.82,18.47,18.32,10.22,9.47,3.48,1.71,0.36,0.94,0.29,0.02,898,7743,10.39,89.61
"47 Comercio al por menor, excepto de vehículos de motor y motocicletas",477 Comercio al por menor de otros artículos en establecimientos especializados,242341.0,2.05,-1.3,-13.4,27960,27900,31597,31377,32278,26436,1247,195,82,94.55,4.46,0.7,0.29,5348,13801,5663,1624,785,462,98,77,20,51,28,3,19.13,49.36,20.25,5.81,2.81,1.65,0.35,0.28,0.07,0.18,0.1,0.01,683,27277,2.44,97.56
"47 Comercio al por menor, excepto de vehículos de motor y motocicletas",471 Comercio al por menor en establecimientos no especializados,233708.0,1.97,1.3,0.4,9556,9340,9963,9555,9520,8537,831,107,81,89.34,8.7,1.12,0.85,859,3504,3133,1041,529,302,65,36,6,41,24,16,8.99,36.67,32.79,10.89,5.54,3.16,0.68,0.38,0.06,0.43,0.25,0.17,206,9350,2.16,97.84
