sector,subsector,estimated_employees_2024,task_name,verdict,priority_score,ai_feasibility_score,business_opportunity_score,recommended_business_model,recommended_horizon,relative_priority,total_2024,size_micro_pct,size_small_pct,size_medium_pct,size_large_pct,sector_context,recommended_solution_type,person_actions,typical_input,typical_output,frequency,process_variability,common_exceptions,verifiability_score,verifiability_reason,verification_latency_score,verification_latency_reason,input_standardization_score,input_standardization_reason,output_standardization_score,output_standardization_reason,error_tolerance_score,error_tolerance_reason,integration_ease_score,integration_ease_reason,autonomy_score,autonomy_reason,executing_role,typical_seniority,annual_gross_salary_eur_min,annual_gross_salary_eur_max,company_cost_eur_min,company_cost_eur_max,avg_time_per_task_minutes,monthly_volume_per_company,monthly_human_cost_eur_min,monthly_human_cost_eur_max,non_human_costs,economic_assumptions,pain_size_score,pain_size_reason,recurrence_score,recurrence_reason,buyer_budget_score,buyer_budget_reason,roi_clarity_score,roi_clarity_reason,adoption_ease_score,adoption_ease_reason,productization_ease_score,productization_ease_reason,service_component_need_score,service_component_need_reason,business_model_reason,legal_regulatory_risks,reputational_risks,precision_risks,integration_bottlenecks,misleading_attractiveness,Estimated_Employees_2024,Estimated_Employees_pct,Median_YoY_Growth_pct,Growth_2020_2024_pct,Total_2024,Total_2023,Total_2022,Total_2021,Total_2020,Size_Micro (0-9)_abs,Size_Small (10-49)_abs,Size_Medium (50-249)_abs,Size_Large (250+)_abs,Size_Micro (0-9)_pct,Size_Small (10-49)_pct,Size_Medium (50-249)_pct,Size_Large (250+)_pct,Estrato_Sin asalariados_abs,Estrato_De 1 a 2_abs,Estrato_De 3 a 5_abs,Estrato_De 6 a 9_abs,Estrato_De 10 a 19_abs,Estrato_De 20 a 49_abs,Estrato_De 50 a 99_abs,Estrato_De 100 a 199_abs,Estrato_De 200 a 249_abs,Estrato_De 250 a 999_abs,Estrato_De 1000 a 4999_abs,Estrato_De 5000 o más asalariados_abs,Estrato_Sin asalariados_pct,Estrato_De 1 a 2_pct,Estrato_De 3 a 5_pct,Estrato_De 6 a 9_pct,Estrato_De 10 a 19_pct,Estrato_De 20 a 49_pct,Estrato_De 50 a 99_pct,Estrato_De 100 a 199_pct,Estrato_De 200 a 249_pct,Estrato_De 250 a 999_pct,Estrato_De 1000 a 4999_pct,Estrato_De 5000 o más asalariados_pct,Condicion_Sociedades anónimas_abs,Condicion_Sociedades de responsabilidad limitada_abs,Condicion_Sociedades anónimas_pct,Condicion_Sociedades de responsabilidad limitada_pct
"62 Programación, consultoría y otras actividades relacionadas con la informática","620 Programación, consultoría y otras actividades relacionadas con la informática",406064.0,Revisión automatizada de Pull Requests (PR),buena,96.2,93.8,100.0,saas_puro,ya,muy_alta,19518,82.61,13.61,2.94,0.85,Empresas de desarrollo de software y consultoras tecnológicas.,software,"El desarrollador revisa el código enviado por otro, verifica sintaxis, estilo y cumplimiento de requisitos.","Código fuente, historial de commits y descripción del ticket de Jira.","Comentarios en el PR, sugerencias de cambio, validación de tests.",Diaria,"Baja; las revisiones siguen patrones estándar (clean code, seguridad).","Conflictos de fusión complejos, cambios de arquitectura que requieren contexto fuera del ticket.",5,"Si el test pasa, el cambio es correcto. La lógica es verificable mediante tests unitarios.",5,Los tests se ejecutan en minutos.,5,El código fuente y las descripciones de tickets (Jira) están altamente estructurados.,5,El output es un comentario en el PR con sugerencias de refactorización o correcciones.,4,Los tests automáticos y la revisión humana (aún necesaria) mitigan riesgos.,5,APIs de GitHub/GitLab y Jira son el estándar industrial.,3,"La IA puede leer el pull request y el ticket, pero necesita supervisión senior para evitar bugs.",Software Engineer (Mid/Senior),Senior,45000,60000,60000,85000,20.0,60,2500,3500,Costes de computación (LLM) y licencias por usuario.,"Asumimos que un desarrollador senior dedica 5 horas a la semana a revisar código básico. 20 min por PR, 15 PRs/semana.",5,El cuello de botella en revisiones es el problema #1 de escalabilidad en equipos tech.,5,El ciclo de desarrollo es continuo.,5,Las empresas de software tienen presupuesto específico para herramientas de developer productivity.,5,Fácil de medir en horas ahorradas por desarrollador.,5,Los equipos técnicos ya usan Jira/Linear y GitHub; un bot que comente tickets se integra de forma natural.,5,Producto muy replicable: es un bot que se instala en el pipeline.,1,"Software puro, no requiere servicios adicionales.",SaaS B2B para departamentos de ingeniería; ahorro directo de horas senior.,"Privacidad del código fuente, aunque es riesgo bajo con despliegue on-premise o VPC.",Riesgo bajo si la herramienta se posiciona como asistente y no como reemplazo total.,La IA puede sugerir código inseguro o romper lógica de negocio si no hay validación.,"Acceso a repositorios privados y políticas de seguridad (SSO, SOC2).","Parece magia, pero requiere mucha configuración para no generar ruido (falsos positivos).",406064.0,3.43,3.6,7.9,19518,18619,19715,18523,18082,16124,2656,573,165,82.61,13.61,2.94,0.85,5167,7091,2362,1504,1643,1013,322,215,36,113,42,10,26.47,36.33,12.1,7.71,8.42,5.19,1.65,1.1,0.18,0.58,0.22,0.05,436,19082,2.23,97.77
"62 Programación, consultoría y otras actividades relacionadas con la informática","620 Programación, consultoría y otras actividades relacionadas con la informática",406064.0,Redacción de informes técnicos y entregables de proyectos,buena,79.0,85.0,70.0,saas_puro,ya,muy_alta,19518,82.61,13.61,2.94,0.85,Consultoras tecnológicas y de gestión.,software,Consultor organiza notas de reuniones y datos recopilados en un informe formal de consultoría.,"Notas de reuniones, transcripciones, datos del proyecto, plantillas.",Informe en formato Word/PDF (Documento de Consultoría).,Mensual/Quincenal,"Media; cada informe cambia, pero la estructura es consistente.","Requisitos muy específicos del cliente, terminología de nicho no existente en el LLM.",4,El consultor lee el resultado final. La verificación es rápida (lectura humana).,5,Minutos para leer y corregir.,4,"Input de notas de reuniones, entrevistas y plantillas estándar.",5,"El documento final sigue una estructura fija (Resumen, Análisis, Recomendaciones).",5,Un error en documentación suele ser menor (estético o de tono) que uno en código.,4,Las APIs de documentos (Word/Google Docs) son sencillas.,3,Requiere supervisión para asegurar que la terminología y el tono son correctos.,Consultor Junior/Analista,Junior,25000,40000,35000,55000,120.0,4,600,1000,"Licencias LLM, infraestructura de almacenamiento seguro.",Un consultor redacta 2 documentos de 10 páginas al mes. 4 horas por documento.,4,El tiempo de redacción administrativa es un drenaje de margen en consultoras.,3,Los proyectos de consultoría generan entregables periódicos.,4,Las consultoras tienen un alto gasto en tiempo administrativo no facturable.,4,Claridad en reducción de horas de consultor.,4,Los consultores prefieren enfocar tiempo en estrategia que en redactar documentos técnicos.,4,Es un generador de documentos con RAG (Retrieval-Augmented Generation) sobre el cliente.,3,"Idealmente software, pero la configuración inicial requiere consultoría.","SaaS de productividad para consultoras, ahorro directo de horas facturables vs no facturables.",Protección de datos confidenciales del cliente en el modelo.,Riesgo medio si el documento enviado al cliente parece redactado por una máquina de baja calidad.,Riesgo de alucinación de datos si la IA inventa recomendaciones.,"Integración con sistemas de gestión de conocimiento internos (Sharepoint, Confluence).",Los resultados pueden parecer buenos pero ser superficiales o genéricos si no hay buena base.,406064.0,3.43,3.6,7.9,19518,18619,19715,18523,18082,16124,2656,573,165,82.61,13.61,2.94,0.85,5167,7091,2362,1504,1643,1013,322,215,36,113,42,10,26.47,36.33,12.1,7.71,8.42,5.19,1.65,1.1,0.18,0.58,0.22,0.05,436,19082,2.23,97.77
"62 Programación, consultoría y otras actividades relacionadas con la informática","620 Programación, consultoría y otras actividades relacionadas con la informática",406064.0,Generación y cálculo de propuestas técnicas (RFPs),media,52.5,32.5,82.5,consultoria_implementacion,24_meses,media,19518,82.61,13.61,2.94,0.85,Consultoras y empresas de desarrollo a medida.,hibrido,"Analiza el RFP, estima horas, redacta la solución técnica, calcula costes y márgenes.","RFP del cliente (doc/pdf), plantilla de precios, historial de proyectos.",Propuesta técnica y comercial detallada.,Semanal,Alta; cada cliente pide cosas distintas.,Clientes con requisitos legales muy extraños o tarifas personalizadas.,2,Requiere revisión humana profunda de costes y condiciones. Difícil de automatizar completamente.,2,Horas de revisión humana.,3,Basado en RFPs (Request for Proposal) con formatos muy variables pero con secciones fijas.,4,Documento final (propuesta técnica y comercial).,2,Un error en la propuesta (ej. horas mal calculadas) puede costar el proyecto o dinero.,2,Requiere integraciones profundas con sistemas de gestión internos.,2,"La IA puede sugerir la propuesta, pero la decisión final sobre márgenes y riesgos es humana.",Account Manager / Sol. Architect,Senior,35000,55000,50000,75000,240.0,5,1200,2000,Mantenimiento de conectores con CRMs.,Un técnico/comercial tarda 4 horas en armar una propuesta técnica detallada. 5 propuestas al mes.,5,Ganar velocidad en enviar propuestas aumenta la probabilidad de ganar el cliente.,4,Las ventas son recurrentes.,5,La conversión de ofertas es crítica; presupuesto suele ser alto en ventas.,5,"ROI claro: menos tiempo, más propuestas, mayor conversión.",3,"Las ofertas cambian poco en estructura, pero mucho en detalle de horas y costes. Muy propenso a errores humanos.",3,Difícil de estandarizar sin un motor de reglas robusto.,5,Requiere personalización del motor de precios para cada empresa.,SaaS para equipos comerciales. Ahorra días de trabajo técnico.,Riesgo contractual si la IA incluye cláusulas que no aplican o son incorrectas.,Riesgo alto: una mala propuesta da imagen de poco profesionalismo.,Muy altos. Un error en un número de la oferta es fatal.,Integración con CRM y sistemas financieros/ERP.,"Parece fácil, pero calcular costes realistas requiere acceso a datos internos no siempre limpios.",406064.0,3.43,3.6,7.9,19518,18619,19715,18523,18082,16124,2656,573,165,82.61,13.61,2.94,0.85,5167,7091,2362,1504,1643,1013,322,215,36,113,42,10,26.47,36.33,12.1,7.71,8.42,5.19,1.65,1.1,0.18,0.58,0.22,0.05,436,19082,2.23,97.77
81 Servicios a edificios y actividades de jardinería,812 Actividades de limpieza,387652.0,Procesamiento automático de facturas de proveedores,media,84.0,92.5,71.2,saas_puro,ya,muy_alta,11556,66.61,26.84,5.09,1.45,"Cualquier empresa, especialmente en servicios de limpieza que compran muchos consumibles.",software,"Recibir facturas de compra de suministros, extraer datos clave, volcar en el software de gestión para el pago.",Facturas en PDF o papel.,Asiento contable en ERP.,Semanal / Mensual,Baja. Facturas tienen formatos muy similares.,"Facturas mal escaneadas, proveedores nuevos no registrados, impuestos mal calculados.",5,El número final de la factura y los datos fiscales deben coincidir al 100%. Verificable con suma de comprobación.,5,Inmediato.,5,Las facturas hoy día son casi todas electrónicas o PDFs estructurados.,5,El output debe seguir el formato del libro mayor. Muy estandarizado.,4,Un error en la contabilización es reversible pero requiere ajuste contable.,4,"Existen APIs estándar para la mayoría de software contable (Sage, A3, etc.).",4,"La IA puede extraer datos y clasificar, pero el humano debe dar el visto bueno final para el pago.",Administrativo contable / Administrativo de operaciones,Junior / Administrativo,18000,25000,23000,32000,5.0,100,1500,2000,"Licencias de OCR de alta precisión, costes de servidor.","Supongo una empresa pequeña-mediana que procesa 100 facturas de proveedores al mes (limpieza, químicos, maquinaria).",2,"Aunque es tedioso, no es el cuello de botella principal de una empresa que vive de la limpieza.",5,Facturación de proveedores es una actividad constante.,3,Es un problema administrativo común y tedioso. El ahorro de tiempo es directo.,4,Ahorro de horas de gestión administrativa. Claramente cuantificable.,5,"Es un flujo de oficina estándar, muy fácil de implementar con herramientas tipo RPA+OCR.",5,Es un caso de uso clásico de IA/OCR. Altamente productizable.,1,"No requiere servicio, es software de automatización de procesos.","SaaS puro, integrándose con el ERP de contabilidad.",Cumplimiento con la normativa de facturación electrónica de la AEAT.,"Bajos, si el sistema avisa de errores.",Errores en importes o cuentas de gasto.,Conexión con software contable legacy muy antiguo común en PYMES españolas.,"Es una commodity. Hay mucha competencia (ej. Bill.com, Holded, etc.), la ventaja competitiva es difícil de mantener.",387652.0,3.27,0.8,-1.6,11556,11104,11938,11768,11742,7698,3102,588,168,66.61,26.84,5.09,1.45,1443,3032,1768,1455,2116,986,357,177,54,123,34,11,12.49,26.24,15.3,12.59,18.31,8.53,3.09,1.53,0.47,1.06,0.29,0.1,228,11328,1.97,98.03
81 Servicios a edificios y actividades de jardinería,812 Actividades de limpieza,387652.0,Auditoría remota de calidad de limpieza (Visión Artificial),buena,77.5,75.0,81.2,saas_mas_operaciones_humanas,ya,muy_alta,11556,66.61,26.84,5.09,1.45,Empresas de limpieza de oficinas y edificios.,hibrido,"Revisar fotos de las zonas comunes enviadas por personal, comparar con estándar de calidad, rellenar checklist de cumplimiento.","Fotos de áreas comunes (suelos, baños, superficies).",Reporte de cumplimiento y detección de anomalías.,Semanal por edificio,"Alta variabilidad de entornos: oficinas, hospitales, centros comerciales.","Zonas poco iluminadas, obstáculos que impiden ver superficies, fotos borrosas.",4,El resultado es una foto que puede ser contrastada. Es fácil determinar si la IA acertó.,5,Inmediato tras el análisis de la IA.,3,"Las fotos son inputs no estructurados, pero el contexto es específico y predecible.",5,El output es una puntuación numérica (1-5) y una lista de zonas a revisar. Muy estructurado.,3,"Un error de la IA puede llevar a una queja injustificada, pero es auditable mediante la foto.",4,Las fotos se pueden recibir vía App o WhatsApp API. La integración es sencilla.,3,"La IA puede puntuar el estado de limpieza, pero la decisión de penalización o re-limpieza es del gestor.",Supervisor de limpieza / Inspector de zona,Intermedio (Supervisor de zona),22000,28000,28000,36000,15.0,200,2300,3000,"Infraestructura de computación en la nube (GPUs para IA), almacenamiento de imágenes.",Supongo una empresa mediana de limpieza que realiza auditorías de calidad semanales en 50 edificios. El ahorro de horas de supervisor es el driver principal.,4,El coste de desplazamiento de supervisores es el principal drenaje de margen en empresas de limpieza.,5,La limpieza de oficinas/edificios es un servicio de contrato recurrente.,4,Las empresas de limpieza sufren mucho por las quejas de clientes y la necesidad de enviar supervisores a auditar el servicio.,5,Ahorro directo en horas hombre de desplazamiento. Cálculo muy sencillo.,3,"Requiere que el cliente suba fotos y el sistema las procese. Es un cambio de proceso operativo, pero el beneficio de ""ahorro en supervisión presencial"" es alto.",4,La IA de visión por computador es muy escalable una vez entrenada en los casos de uso comunes.,3,Requiere un humano para supervisar casos dudosos o reclamaciones de clientes.,Modelo SaaS para grandes cuentas con muchas ubicaciones o empresas de limpieza que necesitan auditar a su propio personal.,Protección de datos (GDPR) si aparecen personas en las fotos.,"Si la IA falla sistemáticamente, el cliente pierde confianza en el servicio de auditoría.",Falsos negativos (decir que está limpio cuando no lo está) dañan la reputación de la empresa de limpieza.,Necesidad de integrar con el sistema de gestión de incidencias del cliente.,"Parece fácil, pero la variabilidad de la luz y los ángulos en interiores dificulta la consistencia de la IA de visión artificial.",387652.0,3.27,0.8,-1.6,11556,11104,11938,11768,11742,7698,3102,588,168,66.61,26.84,5.09,1.45,1443,3032,1768,1455,2116,986,357,177,54,123,34,11,12.49,26.24,15.3,12.59,18.31,8.53,3.09,1.53,0.47,1.06,0.29,0.1,228,11328,1.97,98.03
81 Servicios a edificios y actividades de jardinería,812 Actividades de limpieza,387652.0,Optimización y gestión de turnos de personal,media,59.5,45.0,81.2,saas_mas_operaciones_humanas,24_meses,media,11556,66.61,26.84,5.09,1.45,Empresas de limpieza con alta rotación y volumen de personal.,hibrido,"Asignar personal a centros según turnos, cumplir con convenios, gestionar bajas y sustituciones.","Convenios colectivos, disponibilidad de empleados, requisitos de limpieza del cliente.",Cuadrante de turnos definitivo y comunicado.,Semanal / Mensual,Muy alta. Cada cliente y cada empleado es un mundo.,"Bajas médicas repentinas, vacaciones no aprobadas, cambios de horario de última hora del cliente.",3,"Es fácil verificar si el cuadrante cumple las reglas (ej. no superar horas máximas), pero difícil verificar si es ""óptimo"".",2,Días (al ocurrir la ejecución del turno).,4,"Los datos de entrada son contratos, convenios y disponibilidad, muy estructurados pero complejos de gestionar.",5,El output es un calendario de turnos. Estándar.,2,Un error en el cuadrante significa que una oficina se queda sin limpiar. Problema grave con el cliente.,2,Las normativas laborales españolas hacen que esto sea un infierno de reglas lógicas. Difícil de integrar.,2,"La IA puede sugerir el cuadrante, pero el gestor debe lidiar con las bajas de última hora y conflictos humanos.",Jefe de Operaciones / Planificador de turnos,Senior (Operaciones),25000,35000,32000,45000,480.0,1,2500,3800,"Motor de optimización, soporte técnico constante, integración de sistemas.",Empresa con 50 empleados. El gestor dedica días enteros a cuadrar turnos. La optimización del 5% del tiempo del personal ahorra mucho dinero.,5,"La gestión de turnos es el principal ""dolor de cabeza"" operativo.",5,El planning de turnos nunca termina.,5,El personal es el mayor coste de una empresa de limpieza. Optimizar esto es reducir el coste principal.,5,El ROI se ve en el ahorro de horas extras y costes de gestión. Muy claro si funciona.,2,Los cuadrantes suelen ser hojas de cálculo complejas. La migración requiere un software que entienda de restricciones laborales.,2,Altamente difícil de generalizar. Cada empresa tiene sus propias reglas (convenios).,5,Requiere soporte de implementación fuerte para configurar las reglas de negocio de cada empresa.,SaaS habilitado por IA. Requiere ser muy robusto para manejar cambios constantes.,"Incumplimiento de convenios colectivos o leyes laborales (horas extras, descansos). Riesgo legal alto.","Altos. Si el sistema falla, los edificios se quedan sin servicio.",Alto riesgo de incumplimiento legal o descontento del personal.,Integración con el software de nóminas y control horario.,"Parece simple ""optimización matemática"" (problema del viajante/turnos), pero la realidad operativa es un caos de factores sociales.",387652.0,3.27,0.8,-1.6,11556,11104,11938,11768,11742,7698,3102,588,168,66.61,26.84,5.09,1.45,1443,3032,1768,1455,2116,986,357,177,54,123,34,11,12.49,26.24,15.3,12.59,18.31,8.53,3.09,1.53,0.47,1.06,0.29,0.1,228,11328,1.97,98.03
56 Servicios de comidas y bebidas,561 Restaurantes y puestos de comidas,375244.0,Gestión automática de reservas y pedidos telefónicos/WhatsApp,buena,86.8,86.2,87.5,saas_puro,ya,muy_alta,37551,82.85,15.52,1.44,0.19,Restauración (Restaurantes con servicio a mesa o delivery),software,"Atender llamadas o mensajes de WhatsApp, verificar disponibilidad, registrar reservas o tomar pedidos.","Mensaje de voz, texto, o llamada solicitando reserva/pedido.",Registro en el sistema POS del restaurante.,Continuo (diario),Media: las peticiones pueden ser muy variadas pero los datos necesarios son fijos.,"Solicitudes de cambios en platos no cubiertos en el menú, reservas de grupos muy grandes, alérgenos no listados.",5,El sistema confirma instantáneamente si la entrada ha sido procesada correctamente en el POS.,5,La verificación ocurre en el momento de la inserción de datos.,4,"Las reservas y pedidos estándar siguen estructuras de fecha, hora, personas y platos.",5,El output es una entrada en la base de datos de reservas o en el sistema de tickets de cocina.,4,"Si el bot falla, el cliente puede llamar o desistir. Es reversible.",3,Existen APIs estándar para reservas y pedidos en la mayoría de software moderno.,3,"La IA puede gestionar la mayoría de las peticiones, pero requiere supervisión humana para excepciones complejas o cambios de última hora.",Camarero/Encargado de local,Junior/Operativo,22000,28000,27000,35000,3.0,200,2250,2900,"Coste de licencias de API, servidor y mantenimiento.","Asumimos un 80% de reservas y pedidos simples, y 20% excepciones complejas. Tiempo estimado de 3 min por cliente.",4,La pérdida de tiempo atendiendo llamadas durante horas punta de servicio es un dolor recurrente y real.,5,Las reservas/pedidos son la actividad principal del negocio.,4,El coste de personal para atención al cliente y gestión de reservas es alto; la eficiencia aquí se traduce en ahorro directo.,5,Es muy fácil calcular cuántas horas de personal se ahorran o cuántas llamadas más se atienden.,4,Es un módulo que puede integrarse sobre sistemas de gestión de restaurante existentes (POS). El personal está acostumbrado a apps de pedidos.,5,Se puede crear un producto estándar (plantilla) para el sector.,2,"Software casi autosuficiente, solo requiere soporte técnico y configuración inicial.",SaaS puro integrado vía API con el software de cocina/POS existente. Modelo de suscripción mensual por local.,Protección de datos (RGPD) en el tratamiento de teléfonos y nombres de clientes.,"Si el sistema falla, el restaurante pierde clientes y ventas inmediatas.",Errores en la anotación de alérgenos o cambios de ingredientes podrían ser graves.,Dependencia de la calidad de la API del software POS que utilice el restaurante.,"Parece muy fácil, pero la frustración del cliente ante un bot mal configurado es un riesgo reputacional grave para un restaurante.",375244.0,3.17,2.3,6.6,37551,35747,36997,35053,35217,31111,5829,541,70,82.85,15.52,1.44,0.19,2286,10597,12571,5657,3651,2178,374,139,28,55,14,1,6.09,28.22,33.48,15.06,9.72,5.8,1.0,0.37,0.07,0.15,0.04,0.0,467,37084,1.24,98.76
56 Servicios de comidas y bebidas,561 Restaurantes y puestos de comidas,375244.0,Gestión automatizada de contenidos para redes sociales,buena,82.2,91.2,68.8,saas_puro,ya,muy_alta,37551,82.85,15.52,1.44,0.19,Marketing y Comunicación para hostelería,software,"Hacer foto al plato, subir a app, definir tono, publicar.","Foto sin editar, nombre del plato, precio, ofertas especiales.",Post optimizado para IG/FB/Google Maps.,Diario,Baja: el estilo visual del restaurante suele ser constante.,"Platos sin buena foto inicial, necesidades de comunicación urgente (cierres, eventos especiales).",4,"El usuario ve el resultado final antes de publicarlo (o programa la publicación). Muy subjetivo en cuanto a ""estética"", pero muy verificable en cuanto a ""funcionalidad"".",5,Verificación instantánea (previsualización).,5,"Foto cruda del plato, nombre y precio. Muy estructurado.",5,Post optimizado (imagen + texto + hashtags). Formato estándar.,5,Un error en un post es fácilmente borrable y corregible. Impacto reputacional mínimo.,5,APIs muy abiertas y estándar.,4,"La IA hace el 90% del trabajo: retoque, fondo, textos, optimización para redes. El humano solo aprueba.",Gerente / Camarero encargado,Junior/Encargado,20000,26000,1650,2150,20.0,30,1650,2150,Costes de computación/tokens de IA generativa.,Uso diario para promocionar el menú del día o platos especiales. 20 min/día.,3,"Es una tarea pesada que suele abandonarse por falta de tiempo, perdiendo visibilidad digital.",5,La comunicación digital debe ser diaria para ser efectiva.,3,"Muchos restaurantes no tienen presupuesto para un community manager, pero sí 30-50€/mes.",3,"Es difícil medir el ROI directo en ventas, pero fácil en ahorro de tiempo de gestión.",4,Requiere que el restaurante tenga fotos de calidad y quiera dedicar tiempo a la edición. Proceso sencillo de carga.,5,Altamente escalable. SaaS ideal.,1,"Puramente software, aunque opcionalmente se puede ofrecer servicio de configuración.",SaaS puro. Suscripción para generador de contenidos automáticos según el menú del día.,Ninguno relevante.,Bajos. Un mal post se ignora o se borra.,Que la IA alucine y ponga precios o descripciones falsas. Fácil de verificar.,Conexión con APIs de Instagram/Facebook/Google My Business.,"Existe mucha competencia gratuita (Canva, ChatGPT, etc.). La propuesta de valor debe ser extrema automatización (""sin tocar nada"").",375244.0,3.17,2.3,6.6,37551,35747,36997,35053,35217,31111,5829,541,70,82.85,15.52,1.44,0.19,2286,10597,12571,5657,3651,2178,374,139,28,55,14,1,6.09,28.22,33.48,15.06,9.72,5.8,1.0,0.37,0.07,0.15,0.04,0.0,467,37084,1.24,98.76
56 Servicios de comidas y bebidas,561 Restaurantes y puestos de comidas,375244.0,Optimización de inventario y pedidos a proveedores,media,66.8,58.8,78.8,saas_mas_operaciones_humanas,12_meses,alta,37551,82.85,15.52,1.44,0.19,Restauración (Gestión de cocina),hibrido,"Analizar ventas, revisar stock actual, realizar pedidos a proveedores.","Histórico ventas (POS), niveles stock, precios proveedor.",Lista de compra optimizada (pedido sugerido).,Semanal (semanal o quincenal),Baja: la lógica es matemática/estadística basada en ventas.,"Cambios repentinos en el menú, eventos especiales, roturas de stock inesperadas de proveedores.",4,Es verificable comparando el pedido sugerido vs. el consumo real final.,2,El resultado (ahorro) se ve a medio plazo (mensual).,5,Histórico de ventas (POS) y datos de inventario. Muy estructurado.,5,Lista de pedidos a proveedores (formato PDF o EDI).,3,Un error en la predicción puede llevar a falta de stock o sobrecoste; es un impacto moderado.,2,Depende de si el restaurante usa software de gestión de inventarios digital o papel.,2,"La IA puede predecir pedidos, pero la compra final debe ser aprobada por el gerente.",Gerente / Cocinero jefe,Gerente / Jefe de cocina,25000,30000,31000,37000,45.0,4,2500,3000,Integración con sistemas ERP de proveedores.,Se asume una frecuencia semanal. Ahorro estimado del 5-10% en mermas alimentarias.,5,El desperdicio de comida es uno de los mayores problemas financieros en la restauración.,4,La gestión de stock es un proceso recurrente esencial.,4,El desperdicio de comida (food waste) impacta directamente en el margen operativo del restaurante.,5,El ahorro en dinero real es medible comparando mermas antes y después.,2,Requiere que el restaurante tenga un inventario digitalizado. La adopción es media porque exige disciplina operativa.,4,La lógica es altamente replicable entre restaurantes con modelos similares.,4,Requiere una fase de implementación donde un humano ayuda a limpiar/estructurar los datos iniciales.,"SaaS con modelo de suscripción, enfocado en optimización de costes de materia prima.",Bajos. Seguridad alimentaria al asegurar trazabilidad.,"Si te quedas sin stock en pleno servicio, la reputación se ve afectada.",Sobrecálculos o subcálculos constantes afectan la liquidez y la calidad del servicio.,Conectar los datos del POS con los libros de inventario o excels usados por el chef.,"Parece magia, pero si no tienes datos históricos limpios y estructurados, la IA no sirve de nada.",375244.0,3.17,2.3,6.6,37551,35747,36997,35053,35217,31111,5829,541,70,82.85,15.52,1.44,0.19,2286,10597,12571,5657,3651,2178,374,139,28,55,14,1,6.09,28.22,33.48,15.06,9.72,5.8,1.0,0.37,0.07,0.15,0.04,0.0,467,37084,1.24,98.76
41 Construcción de edificios,412 Construcción de edificios,362476.0,Procesamiento y validación de facturas de proveedores de obra,buena,83.0,80.0,87.5,saas_puro,ya,muy_alta,55349,86.1,12.94,0.9,0.05,Construcción de edificios (PYMEs),software,"Revisar facturas de proveedores, comparar con albaranes/presupuestos y cargar en software contable.","Factura en PDF/papel, presupuesto de obra asociado.",Asiento contable validado y flujo de caja actualizado.,Diario,"Alta, debido a la diversidad de proveedores y formatos.","Facturas sin desglose de partidas, errores en NIF, servicios no presupuestados.",5,El importe debe coincidir matemáticamente con el presupuesto y el albarán.,5,La validación es instantánea tras procesar la factura.,2,"Facturas en PDF, muchas veces escaneadas o fotos, formatos heterogéneos.",5,El output es un asiento contable estándar o una entrada en ERP.,4,Se puede corregir antes del pago o en el asiento contable posterior.,3,La mayoría de programas contables tienen APIs de importación de asientos.,2,Requiere juicio humano para interpretar conceptos poco claros en la factura vs el presupuesto.,Administrativo/a de obra,Junior/Mid,25000,35000,32000,45000,15.0,100,1500,2000,"Suscripción API OCR, mantenimiento integración.",El volumen de facturas de proveedores es alto en pequeñas constructoras. Coste humano estimado considerando seguridad social.,4,El tiempo administrativo en microempresas es crítico para el dueño.,5,El flujo de facturas es constante durante la ejecución de obra.,4,El control de costes es una prioridad directa en la construcción.,5,Reducción directa de horas hombre en tareas administrativas.,4,Es un proceso estándar pero requiere integración con software de gestión de obra o contabilidad existente.,5,Muy estandarizable si se integra bien con los ERPs principales.,1,No requiere más que configuración inicial.,La alta atomización del sector (microempresas) pide un SaaS accesible de pago por uso.,Cumplimiento fiscal (AEAT) si el dato extraído es erróneo.,"Bajo, riesgo interno principalmente.",Error en importes o partidas presupuestarias afectando el margen de la obra.,Sistemas contables legacy muy variados en las PYMES.,"Parece fácil por el OCR, pero la validación contra presupuesto de obra es compleja.",362476.0,3.06,-2.2,-21.6,55349,53759,67497,67280,70630,47657,7162,500,30,86.1,12.94,0.9,0.05,11588,20207,10125,5737,4610,2552,358,120,22,25,4,1,20.94,36.51,18.29,10.37,8.33,4.61,0.65,0.22,0.04,0.05,0.01,0.0,1631,53718,2.95,97.05
