"esco_role","country_name","n_job_offers","median_min_salary","median_max_salary"
 artificial intelligence engineer ,Germany,17,47000.0,68000.0
 artificial intelligence engineer ,Spain,11,39000.0,48000.0
 artificial intelligence engineer ,United Kingdom,53,66000.0,120000.0
ATM repair technician,Spain,15,17000.0,17000.0
Accounting associate professionals,United Kingdom,11,24000.0,120000.0
Actors,Spain,17,360.0,360.0
Administration professionals,Brazil,21,5626.656,6028.5599999999995
Administration professionals,Spain,38,17000.0,20000.0
Administration professionals,United Kingdom,36,29878.8,31200.0
Administrative and commercial managers,Spain,60,16800.0,19000.0
Administrative and commercial managers,United Kingdom,28,31200.0,33600.0
Aged care services managers,Germany,17,30000.0,41000.0
Aged care services managers,Spain,15,13200.0,15240.0
Agricultural and industrial machinery mechanics and repairers,Germany,24,29000.0,37000.0
Air conditioning and refrigeration mechanics,Brazil,16,4019.04,4219.992
Assemblers,Brazil,33,3846.2212799999998,4019.04
Assemblers,France,27,23040.0,24960.0
Assemblers,Germany,39,27000.0,39000.0
Assemblers,Spain,348,19446.875,22982.505555555555
Assemblers,United Kingdom,43,29952.0,31104.0
Business and administration associate professionals,United Kingdom,19,78000.0,120000.0
Business and administration professionals,Germany,24,32000.0,48000.0
Business and administration professionals,United Kingdom,36,28800.0,32970.24
Business services agents,United Kingdom,18,28569.6,28569.6
Buyers,Brazil,38,6028.5599999999995,6028.5599999999995
Buyers,Germany,212,38416.66666666667,55777.77777777778
Buyers,Spain,29,22000.0,28000.0
Buyers,United Kingdom,267,41993.406593406595,50215.2
Cleaners and helpers,Germany,66,25000.0,34000.0
Commercial sales representatives,Germany,39,31000.0,44000.0
Commercial sales representatives,India,27,4527.621999999999,5922.576
Commercial sales representatives,Spain,60,20000.0,30000.0
Commercial sales representatives,United Kingdom,16,36000.0,60000.0
Computer network and systems technicians,Germany,15,32000.0,47000.0
Computer network and systems technicians,Spain,51,22000.0,26000.0
Construction managers,United Kingdom,11,33600.0,38400.0
Construction supervisors,Germany,142,40000.0,59000.0
Construction supervisors,Spain,108,30000.0,35000.0
Dental assistants and therapists,Germany,79,28000.0,38000.0
Dental assistants and therapists,Spain,16,15600.0,18000.0
Dentists,Germany,74,45000.0,65000.0
Dentists,Spain,82,24250.0,42000.0
Dentists,United Kingdom,316,24000.0,120000.0
Early childhood educators,France,26,24734.0,26400.0
Early childhood educators,Germany,37,31200.0,42000.0
Early childhood educators,Spain,83,28800.0,33000.0
Education managers,Germany,18,32000.0,46000.0
Electrical equipment installers and repairers,Spain,12,24000.0,27000.0
Electrical mechanics and fitters,United Kingdom,27,39600.0,45600.0
Electrotechnology engineers,Germany,31,35000.0,52000.0
Finance managers,Brazil,23,7033.32,7033.32
Finance managers,France,12,26880.0,41376.0
Finance managers,Germany,62,51000.0,72000.0
Finance managers,Spain,22,28000.0,32000.0
Finance managers,United Kingdom,776,60000.0,72000.0
Finance professionals,Germany,36,43000.0,63000.0
Finance professionals,India,24,3088.437,4447.157
Finance professionals,United Kingdom,35,25200.0,120000.0
Food preparation assistants,Germany,14,28000.0,38000.0
Food preparation assistants,United Kingdom,11,28131.840000000004,29030.399999999998
Health care assistants,Germany,167,26135.714285714286,36000.0
Health care assistants,United Kingdom,1435,31721.98250728863,33874.20734693877
Health professionals,United Kingdom,13,42000.0,69120.0
Heavy truck and bus drivers,Spain,22,21000.0,26000.0
Hotel managers,Germany,84,35000.0,54000.0
Hotel managers,Spain,50,21000.0,23000.0
Hotel managers,United Kingdom,11,12000.0,32400.0
Hotel receptionists,Brazil,28,9042.84,9042.84
