nace	isco	physical	strength	dexterity	navigation	intellectual	inforproc	uncodified	codified	literacy	business	technical	humanities	numeracy	accounting	analytic	probsolving	evaluation	infogath	conceptualisation	resolution	creativity	planning	social	serving	teaching	selling	managing	caring	autonomy	latitude	control	team	routine	repetitiv	standard	certainty	machines	ICT	ICTbasic	ICTadvanced	pop
1. Crop and animal production, hunting and related service activities	11. Chief executives, senior officials and legislators	.096761681	.04737974	.14089282	.10201249	.73670781	.64082444	.049229648	.64082444	.73121697	.95082992	.291991	.95082992	.55043191	.73677838	.36408547	.83259118	.81047672	.82506609	.79588735	.85470569	.70941138	1	.63805902	.65687424	.48719883	.72355676	.77394706	.54871833	.85061538	.81085926	.89037156	.41666666	.80714768	.42144299	1	1	.37934145	.16810554	.438595	.16622098	6.02187741920352
2. Forestry and logging	11. Chief executives, senior officials and legislators																																									1.530297502875328
3. Fishing and aquaculture	11. Chief executives, senior officials and legislators																																									.1751049999147654
7. Mining of metal ores	11. Chief executives, senior officials and legislators																																									.0971074998378754
8. Other mining and quarrying	11. Chief executives, senior officials and legislators																																									1.694644316099584
9. Mining support service activities	11. Chief executives, senior officials and legislators																																									.2237499952316284
10. Manufacture of food products	11. Chief executives, senior officials and legislators	.03590852	.0057130721	7.4159430e-18	.10201249	.86087894	.77563846	.049229648	.77563846	.7552622	1	.26578665	1	.79601479	.8812272	.71080232	.94611937	.91253304	.82506609	1	.97970569	.95941138	1	.79584593	.65687424	.77363718	1	1	.54871833	.87276375	.85515594	.89037156	.5	.44839767	.015192991	1	.33000001	.0043414496	.25		.33244196	12.57178072631359
11. Manufacture of beverages	11. Chief executives, senior officials and legislators	.03590852	.0057130721	7.4159430e-18	.10201249	.81400394	.77563846	.049229648	.77563846	.7552622	1	.26578665	1	.79601479	.8812272	.71080232	.85236937	.78753304	.82506609	.75	.91720569	.83441138	1	.79584593	.65687424	.77363718	1	1	.54871833	.80463874	.71890593	.89037156	.85000002	.33839765	.015192991	0	1	.0043414496	.25		.33244196	2.734078772366047
12. Manufacture of tobacco products	11. Chief executives, senior officials and legislators																																									.2915424928069115
13. Manufacture of textiles	11. Chief executives, senior officials and legislators	.63161135		.63161135		.59426367	.6271292		.6271292	.74843287	.93713272	.37103319	.93713272	.50582546	.68419433	.32745659	.56139809	.56139809		.56139809				.40428281		.30699056	.52518958	.38066828		.82674766	.82674766		.875						.61994666	.82564574	.061398111	3.081732533872128
14. Manufacture of wearing apparel	11. Chief executives, senior officials and legislators	.75		.75		.5	.58333331		.58333331	.83333331	1	.5	1	.33333331	.41666666	.25	.41666666	.41666666		.41666666				.55416667		.5	.8125	.34999999		.5625	.5625		.75						.57499999	.8125	0	2.282539959996939
15. Manufacture of leather and related products	11. Chief executives, senior officials and legislators																																									2.082229964435101
16. Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting ma	11. Chief executives, senior officials and legislators	1		1		.69930553	.48194444		.48194444	.50555551	.58333331	.34999999	.58333331	.45833334	.91666669	0	.91666669	.91666669		.91666669				.59583336		.375	.8125	.60000002		1	1		.75						.175	.25	0	3.352462590206414
17. Manufacture of paper and paper products	11. Chief executives, senior officials and legislators																																									2.928449956700206
18. Printing and reproduction of recorded media	11. Chief executives, senior officials and legislators	.036356386	.0070566619	7.4159430e-18	.10201249	.86087894	.77563846	.049229648	.77563846	.7552622	1	.26578665	1	.79601479	.8812272	.71080232	.94611937	.91253304	.82506609	1	.97970569	.95941138	1	.79584593	.65687424	.77363718	1	1	.54871833	.92447686	.9585821	.89037156	.5	.29698074	.034339145	.5	.35660309	.0093799103	.77015382		.33244196	6.145337641239166
19. Manufacture of coke and refined petroleum products	11. Chief executives, senior officials and legislators																																									.9299950040876865
20. Manufacture of chemicals and chemical products	11. Chief executives, senior officials and legislators																																									10.07096955180168
